Abr.,State,Community,Px,Legislation,2015 charges,2016 charges,2017 charges,Avg,2015 Incidents,216 Incidents,2017 Incidents,Total Incidents,Percent Incidents
AL,Alabama,78000,7.8,No,0.31,0.28,0.35,0.31,864,934,888,2686,3.443589744
AK,Alaska,15000,1.5,No,0.31,0.34,0.28,0.31,24,32,28,84,0.56
AZ,Arizona,179000,17.9,No,0.29,0.31,0.33,0.31,697,723,656,2076,1.159776536
AR,Arkansas,50000,5,No,0.31,0.3,0.32,0.31,422,437,439,1298,2.596
CA,California,1194000,119.4,Yes,0.28,0.27,0.28,0.27,1729,1560,1500,4789,0.401088777
CO,Colorado,156000,15.6,Yes,0.34,0.31,0.36,0.34,655,608,607,1870,1.198717949
CT,Connecticut,82000,8.2,Yes,0.3,0.26,0.26,0.27,71,66,68,205,0.25
DE,Delaware,24000,2.4,Yes,0.27,0.28,0.21,0.25,45,47,29,121,0.504166667
DC,District of Columbia,45000,4.5,Yes,0.32,0.31,0.3,0.31,225,200,161,586,1.302222222
FL,Florida,545000,54.5,No,0.29,0.31,0.3,0.3,2059,2332,2041,6432,1.180183486
GA,Georgia,271000,27.1,No,0.31,0.32,0.33,0.32,1595,1684,1596,4875,1.798892989
HI,Hawaii,34000,3.4,Yes,0.29,0.35,0.32,0.32,93,103,93,289,0.85
ID,Idaho,25000,2.5,No,0.31,0.33,0.25,0.29,24,30,14,68,0.272
IL,Illinois,326000,32.6,Yes,0.29,0.26,0.32,0.29,1308,1325,1399,4032,1.236809816
IN,Indiana,165000,16.5,No,0.33,0.31,0.32,0.32,826,786,759,2371,1.436969697
IA,Iowa,59000,5.9,Yes,0.27,0.24,0.23,0.25,50,45,35,130,0.220338983
KS,Kansas,56000,5.6,No,0.31,0.32,0.35,0.32,218,213,215,646,1.153571429
KY,Kentucky,82000,8.2,No,0.32,0.3,0.3,0.31,282,273,262,817,0.996341463
LA,Louisiana,94000,9.4,No,0.28,0.3,0.28,0.29,502,502,468,1472,1.565957447
ME,Maine,35000,3.5,Yes,0.15,0.27,0.2,0.21,4,8,7,19,0.054285714
MD,Maryland,151000,15.1,Yes,0.27,0.28,0.29,0.28,626,635,693,1954,1.294039735
MA,Massachusetts,224000,22.4,Yes,0.2,0.26,0.31,0.25,116,129,146,391,0.174553571
MI,Michigan,229000,22.9,No,0.27,0.27,0.27,0.27,684,729,664,2077,0.9069869
MN,Minnesota,135000,13.5,Yes,0.28,0.26,0.28,0.27,267,229,200,696,0.515555556
MS,Mississippi,48000,4.8,No,0.28,0.28,0.31,0.29,509,527,556,1592,3.316666667
MO,Missouri,131000,13.1,No,0.33,0.3,0.34,0.32,611,646,720,1977,1.509160305
MT,Montana,18000,1.8,No,0.46,0.47,0.32,0.42,11,21,9,41,0.227777778
NE,Nebraska,45000,4.5,No,0.22,0.25,0.33,0.27,24,25,22,71,0.157777778
NV,Nevada,92000,9.2,Yes,0.29,0.33,0.34,0.32,381,335,330,1046,1.136956522
NH,New Hampshire,35000,3.5,Yes,0.24,0.2,0.49,0.31,14,11,31,56,0.16
NJ,New Jersey,205000,20.5,Yes,0.23,0.27,0.28,0.26,354,500,447,1301,0.634634146
NM,New Mexico,47000,4.7,Yes,0.33,0.33,0.35,0.34,317,307,297,921,1.959574468
NY,New York,588000,58.8,Yes,0.32,0.32,0.31,0.32,1158,1202,1142,3502,0.595578231
NC,North Carolina,238000,23.8,No,0.28,0.29,0.28,0.28,1167,1265,1034,3466,1.456302521
ND,North Dakota,12000,1.2,No,0.29,0.36,0.22,0.29,29,29,14,72,0.6
OH,Ohio,298000,29.8,No,0.28,0.28,0.28,0.28,780,752,672,2204,0.739597315
OK,Oklahoma,74000,7.4,No,0.32,0.33,0.28,0.31,405,349,342,1096,1.481081081
OR,Oregon,129000,12.9,Yes,0.31,0.31,0.31,0.31,68,90,73,231,0.179069767
PA,Pennsylvania,307000,30.7,No,0.29,0.28,0.29,0.28,1285,1255,1293,3833,1.248534202
RI,Rhode Island,29000,2.9,Yes,0.23,0.15,0.3,0.22,12,19,11,42,0.144827586
SC,South Carolina,99000,9.9,No,0.29,0.3,0.31,0.3,373,392,367,1132,1.143434343
SD,South Dakota,15000,1.5,No,0.34,0.37,0.31,0.34,22,20,22,64,0.426666667
TN,Tennessee,133000,13.3,No,0.32,0.34,0.31,0.32,863,931,815,2609,1.961654135
TX,Texas,647000,64.7,No,0.3,0.3,0.31,0.3,2869,2765,2740,8374,1.294281298
UT,Utah,67000,6.7,Yes,0.39,0.32,0.38,0.37,110,84,101,295,0.440298507
VT,Vermont,19000,1.9,Yes,0.24,0.28,0.35,0.29,11,8,16,35,0.184210526
VA,Virginia,197000,19.7,No,0.31,0.3,0.3,0.3,868,881,818,2567,1.303045685
WA,Washington,226000,22.6,Yes,0.28,0.32,0.3,0.3,351,442,361,1154,0.510619469
WV,West Virginia,40000,4,No,0.32,0.38,0.3,0.33,41,43,37,121,0.3025
WI,Wisconsin,110000,11,Yes,0.27,0.25,0.26,0.26,250,273,242,765,0.695454545
WY,Wyoming,10000,1,No,0.52,0.38,0.43,0.45,24,21,13,58,0.58
