state,data
AL,78000
AK,15000
AZ,179000
AR,50000
CA,1194000
CO,156000
CT,82000
DE,24000
DC,45000
FL,545000
GA,271000
HI,34000
ID,25000
IL,326000
IN,165000
IA,59000
KS,56000
KY,82000
LA,94000
ME,35000
MD,151000
MA,224000
MI,229000
MN,135000
MS,48000
MO,131000
MT,18000
NE,45000
NV,92000
NH,35000
NJ,205000
NM,47000
NY,588000
NC,238000
ND,12000
OH,298000
OK,74000
OR,129000
PA,307000
RI,29000
SC,99000
SD,15000
TN,133000
TX,647000
UT,67000
VT,19000
VA,197000
WA,226000
WV,40000
WI,110000
WY,10000
